Year,Monthly/Quarterly,Labor Force Participation Rate,Employment Rate,Unemployment Rate,Underemployment Rate,Visible Underemployment Rate
2024,January,61.14,95.53,4.47,13.92,7.29
2024,February,64.8,96.46,3.54,12.41,7.71
2024,March,65.32,96.09,3.91,10.97,6.66
2024,April,64.1,95.95,4.05,14.55,9.15
2024,May,64.82,95.87,4.13,9.85,6.05
2024,June,66.0,96.88,3.12,12.1,6.87
2024,July,63.47,95.26,4.74,12.11,6.68
2024,August,64.81,95.96,4.04,11.16,5.79
2024,September,65.69,96.34,3.66,11.92,6.5
2024,October,0.0,0.0,0.0,0.0,0.0
2024,November,0.0,0.0,0.0,0.0,0.0
2024,December,0.0,0.0,0.0,0.0,0.0
2024,Annual,0.0,0.0,0.0,0.0,0.0
2023,January,64.5,95.22,4.78,14.05,9.67
2023,February,66.58,95.17,4.83,12.88,8.75
2023,March,66.01,95.26,4.74,11.2,7.75
2023,April,65.12,95.52,4.48,12.91,9.57
2023,May,65.35,95.7,4.3,11.73,7.64
2023,June,66.07,95.45,4.55,12.03,7.25
2023,July,60.09,95.15,4.85,15.92,8.03
2023,August,64.66,95.59,4.4,11.71,7.54
2023,September,64.1,95.47,4.53,10.73,6.85
2023,October,63.95,95.81,4.19,11.71,6.9
2023,November,65.89,96.44,3.56,11.66,6.83
2023,December,66.65,96.93,3.07,11.9,7.24
2023,Annual,64.91,95.65,4.35,12.34,7.83
2022,January,60.54,93.61,6.39,14.86,8.94
2022,February,63.83,93.57,6.43,14.03,9.22
2022,March,65.37,94.23,5.77,15.8,10.24
2022,April,63.37,94.29,5.71,14.03,9.25
2022,May,64.04,94.03,5.97,14.47,9.82
2022,June,64.78,93.97,6.03,12.64,8.46
2022,July,65.23,94.79,5.21,13.8,9.02
2022,August,66.06,94.7,5.3,14.69,9.42
2022,September,65.18,95.01,4.99,15.4,9.83
2022,October,64.14,95.46,4.54,14.17,9.02
2022,November,67.45,95.8,4.2,14.4,9.33
2022,December,66.39,95.67,4.33,12.65,8.11
2022,Annual,64.7,94.61,5.39,14.24,9.22
2021,January,60.5,91.23,8.77,15.97,10.98
2021,February,63.46,91.15,8.85,18.19,12.48
2021,March,65.01,92.94,7.06,16.18,10.87
2021,April,63.23,91.27,8.73,17.22,12.32
2021,May,64.57,92.28,7.72,12.28,8.87
2021,June,65.05,92.28,7.72,14.22,9.79
2021,July,59.41,92.81,7.19,21.04,11.01
2021,August,63.63,91.93,8.07,14.65,10.44
2021,September,63.35,91.06,8.94,14.18,10.13
2021,October,62.63,92.6,7.4,16.07,10.74
2021,November,64.25,93.5,6.5,16.75,11.53
2021,December,65.1,93.37,6.63,14.72,9.85
2021,Annual,63.35,92.21,7.79,15.92,10.74
2020,January,61.69,94.68,5.32,14.81,8.93
2020,February,0.0,0.0,0.0,0.0,0.0
2020,March,0.0,0.0,0.0,0.0,0.0
2020,April,55.69,82.4,17.6,18.91,16.22
2020,May,0.0,0.0,0.0,0.0,0.0
2020,June,0.0,0.0,0.0,0.0,0.0
2020,July,61.94,90.04,9.96,17.28,12.49
2020,August,0.0,0.0,0.0,0.0,0.0
2020,September,0.0,0.0,0.0,0.0,0.0
2020,October,58.74,91.27,8.73,14.43,9.05
2020,November,0.0,0.0,0.0,0.0,0.0
2020,December,0.0,0.0,0.0,0.0,0.0
2020,Annual,59.52,89.74,10.26,16.24,11.46
2019,January,60.24,94.71,5.29,15.42,7.97
2019,February,0.0,0.0,0.0,0.0,0.0
2019,March,0.0,0.0,0.0,0.0,0.0
2019,April,61.34,94.85,5.15,13.33,8.21
2019,May,0.0,0.0,0.0,0.0,0.0
2019,June,0.0,0.0,0.0,0.0,0.0
2019,July,62.06,94.58,5.42,13.64,8.45
2019,August,0.0,0.0,0.0,0.0,0.0
2019,September,0.0,0.0,0.0,0.0,0.0
2019,October,61.41,95.41,4.59,12.78,7.88
2019,November,0.0,0.0,0.0,0.0,0.0
2019,December,0.0,0.0,0.0,0.0,0.0
2019,Annual,61.26,94.89,5.11,13.79,8.13
2018,January,62.17,94.74,5.26,17.96,10.57
2018,February,0.0,0.0,0.0,0.0,0.0
2018,March,0.0,0.0,0.0,0.0,0.0
2018,April,60.91,94.54,5.46,16.96,9.15
2018,May,0.0,0.0,0.0,0.0,0.0
2018,June,0.0,0.0,0.0,0.0,0.0
2018,July,60.06,94.58,5.42,17.23,8.11
2018,August,0.0,0.0,0.0,0.0,0.0
2018,September,0.0,0.0,0.0,0.0,0.0
2018,October,60.55,94.94,5.06,13.31,7.75
2018,November,0.0,0.0,0.0,0.0,0.0
2018,December,0.0,0.0,0.0,0.0,0.0
2018,Annual,60.92,94.7,5.3,16.36,8.9
2017,January,60.66,93.44,6.56,16.26,9.76
2017,February,0.0,0.0,0.0,0.0,0.0
2017,March,0.0,0.0,0.0,0.0,0.0
2017,April,61.37,94.28,5.72,16.06,10.0
2017,May,0.0,0.0,0.0,0.0,0.0
2017,June,0.0,0.0,0.0,0.0,0.0
2017,July,60.64,94.42,5.58,16.28,8.56
2017,August,0.0,0.0,0.0,0.0,0.0
2017,September,0.0,0.0,0.0,0.0,0.0
2017,October,62.14,95.0,5.0,15.92,8.79
2017,November,0.0,0.0,0.0,0.0,0.0
2017,December,0.0,0.0,0.0,0.0,0.0
2017,Annual,61.2,94.29,5.71,16.13,9.28
2016,January,63.55,94.31,5.69,19.6,10.17
2016,February,0.0,0.0,0.0,0.0,0.0
2016,March,0.0,0.0,0.0,0.0,0.0
2016,April,63.5,93.94,6.06,18.27,10.54
2016,May,0.0,0.0,0.0,0.0,0.0
2016,June,0.0,0.0,0.0,0.0,0.0
2016,July,63.24,94.61,5.39,17.42,9.68
2016,August,0.0,0.0,0.0,0.0,0.0
2016,September,0.0,0.0,0.0,0.0,0.0
2016,October,63.61,95.34,4.66,18.02,9.96
2016,November,0.0,0.0,0.0,0.0,0.0
2016,December,0.0,0.0,0.0,0.0,0.0
2016,Annual,63.48,94.55,5.45,18.32,10.09
2015,January,63.7,93.43,6.57,17.9,11.23
2015,February,0.0,0.0,0.0,0.0,0.0
2015,March,0.0,0.0,0.0,0.0,0.0
2015,April,64.6,93.59,6.41,17.83,11.61
2015,May,0.0,0.0,0.0,0.0,0.0
2015,June,0.0,0.0,0.0,0.0,0.0
2015,July,62.9,93.5,6.5,20.98,10.81
2015,August,0.0,0.0,0.0,0.0,0.0
