Year,Month,Labor Force Participation Rate,Employment Rate,Unemployment Rate,Underemployment Rate,Visible Underemployment Rate,MonthNum,Quarter
2005,January,66.0,88.6,11.4,16.0,9.8,1.0,Q1
2005,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2005,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2005,April,65.37,91.72,8.28,25.76,13.97,4.0,Q2
2005,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2005,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2005,July,65.09,92.3,7.7,20.17,12.8,7.0,Q3
2005,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2005,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2005,October,65.29,92.62,7.38,20.9,12.76,10.0,Q4
2005,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2005,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2006,January,63.6,91.86,8.14,21.15,13.3,1.0,Q1
2006,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2006,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2006,April,64.8,91.77,8.23,25.41,15.46,4.0,Q2
2006,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2006,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2006,July,64.6,91.86,8.14,23.44,13.73,7.0,Q3
2006,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2006,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2006,October,63.8,92.61,7.39,20.32,13.05,10.0,Q4
2006,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2006,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2007,January,64.8,92.17,7.83,21.5,12.88,1.0,Q1
2007,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2007,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2007,April,64.5,92.6,7.4,18.92,13.02,4.0,Q2
2007,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2007,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2007,July,63.6,92.19,7.81,21.99,11.42,7.0,Q3
2007,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2007,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2007,October,63.2,93.75,6.25,18.14,10.87,10.0,Q4
2007,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2007,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2008,January,63.4,92.64,7.36,18.9,11.94,1.0,Q1
2008,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2008,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2008,April,63.17,92.0,8.0,19.76,12.0,4.0,Q2
2008,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2008,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2008,July,64.3,92.64,7.36,21.08,12.09,7.0,Q3
2008,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2008,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2008,October,63.7,93.18,6.82,17.46,11.12,10.0,Q4
2008,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2008,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2009,January,63.3,92.31,7.69,18.21,11.63,1.0,Q1
2009,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2009,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2009,April,64.0,92.53,7.47,18.92,12.39,4.0,Q2
2009,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2009,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2009,July,64.6,92.4,7.6,19.81,11.12,7.0,Q3
2009,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2009,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2009,October,63.98,92.88,7.12,19.38,12.04,10.0,Q4
2009,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2009,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2010,January,64.5,92.72,7.28,19.74,11.59,1.0,Q1
2010,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2010,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2010,April,63.6,91.95,8.05,17.78,11.02,4.0,Q2
2010,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2010,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2010,July,63.92,93.04,6.96,17.95,10.69,7.0,Q3
2010,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2010,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2010,October,64.23,92.88,7.12,19.57,11.26,10.0,Q4
2010,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2010,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2011,January,63.72,92.56,7.44,19.43,12.24,1.0,Q1
2011,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2011,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2011,April,64.25,92.77,7.23,19.36,11.96,4.0,Q2
2011,May,0.0,0.0,0.0,0.0,0.0,5.0,Q2
2011,June,0.0,0.0,0.0,0.0,0.0,6.0,Q2
2011,July,64.34,92.93,7.07,19.12,10.96,7.0,Q3
2011,August,0.0,0.0,0.0,0.0,0.0,8.0,Q3
2011,September,0.0,0.0,0.0,0.0,0.0,9.0,Q3
2011,October,66.26,93.58,6.42,19.15,11.54,10.0,Q4
2011,November,0.0,0.0,0.0,0.0,0.0,11.0,Q4
2011,December,0.0,0.0,0.0,0.0,0.0,12.0,Q4
2012,January,64.17,92.81,7.19,18.8,11.5,1.0,Q1
2012,February,0.0,0.0,0.0,0.0,0.0,2.0,Q1
2012,March,0.0,0.0,0.0,0.0,0.0,3.0,Q1
2012,April,64.68,93.11,6.89,19.33,12.82,4.0,Q2
